id,text
10,How might the way we nourish our bodies affect planetary health? Debate your classmates: Should the federal government be concerned with what Americans eat?
11,"Health is defined as “a state of complete physical, mental, and social well-being, and not merely the absence of disease or infirmity.”World Health Organization. “WHO definition of health.” http://www.who.int/ about/definition/en/print.html. Disease is defined as any abnormal condition that affects the health of an organism, and is characterized by specific signs and symptoms."
12,"Good nutrition provides a mechanism to promote health and prevent disease. Diet-related conditions and diseases include obesity, Type 2 diabetes, cardiovascular disease, some cancers, and osteoporosis. It took until the 1980s for the US federal government to develop a diet- related public policy designed to equip Americans with the tools to change to a healthier diet."
13,"Substances required by the body that must be obtained from the diet. The foods we eat contain nutrients5. Nutrients are substances required by the body to perform its basic functions. Nutrients must be obtained from diet, since the human body does not synthesize them. Nutrients are used to produce energy, detect and respond to environmental surroundings, move, excrete wastes, respire"
14,"Nutrients that are needed in large amounts. Includes carbohydrates, lipids, proteins, and water. Organic molecules composed of carbon, hydrogen, and oxygen. There are two basic forms: simple sugars and complex sugars."
15,"Foods contain nutrients that are essential for our bodies to function. Four of the classes of nutrients required for bodily function are needed in large amounts. They are carbohydrates, lipids, proteins, and water, and are referred to as macronutrients. Two of the classes of nutrients are needed in lesser amounts, but are still essential for bodily function. They are vitamins and minerals. One measurement of food quality is the amount of essential nutrients a food contains relative to the amount of energy it has (nutrient density)."
16,"Defining the problem or uncertainty (e.g., the rate of colon cancer is higher in people who eat red meat) Formulating it as a question (e.g., Does eating red meat contribute to colon cancer?)"
17,"Scientific investigations that define frequency, distribution, and patterns of health events in a population. Epidemiological studies12 are observational studies and are often the front-line studies for public health. The CDC defines epidemiological studies as scientific investigations that define frequency, distribution, and patterns of health events in a population. Thus, these studies describe the occurrence and patterns of health events over time. The goal of an epidemiological study is to find factors associated with an increased risk for a health event, though these sometimes remain elusive."
18,"those that include a control group, which does not receive the intervention, to which you can compare the people who receive the intervention being tested; those in which the subjects are randomized into the group or intervention group, meaning a given subject has an equal chance of ending up in either the control group or the intervention group. This is done to ensure that any possible confounding variables are likely to be evenly distributed between the control and the intervention groups;"
19,"Scientific investigations in which a variable is changed between groups of people. The limitations of these types of scientific studies are that they are difficult to carry on for long periods of time, are costly, and require that participants remain compliant with the intervention. Furthermore, it is unethical to study certain interventions. (An example of an unethical intervention would be to advise one group of pregnant mothers to drink alcohol to determine the effects of alcohol intake on pregnancy outcome, because we know that alcohol consumption during pregnancy damages the developing fetus.)"
20,"Scientific investigations which incorporate a change in the variable being tested between groups of people and are therefore capable of determining a causal relationship. Science can also be contentious even amongst experts that don’t have any conflicting financial interests. To see scientists debating over the nutritional guidelines, watch Note 1.27 ""Video Link 1.2"". Contentious science is actually a good thing as it forces researchers to be of high integrity, well-educated, well-trained, and dedicated. It also instigates public health policy makers to seek out multiple sources of evidence in order to support a new policy. Agreement involving many experts across multiple scientific disciplines is necessary for recommending dietary changes to improve health and prevent disease. Although a somewhat slow process,"
21,"The scientific method is an organized process of inquiry used in nutritional science to determine if the food suspect fits the claim. The scientific method is part of the overall evidence-based approach to designing nutritional guidelines that are based on facts. There are different types of scientific studies—epidemiological studies, randomized clinical interventional trial studies, and laboratory animal and cell studies—which all provide different, complementary lines of evidence. It takes time to build scientific evidence that culminates as a commonly accepted conclusion. Agreement of experts across multiple scientific disciplines is a necessity for recommending dietary changes to improve health and help to prevent disease. Science is always evolving as more and more information is collected."
22,"What are some of the ways in which you think like a scientist and use the scientific method in your everyday life? Any decision-making process uses at least pieces of the scientific method. Think about some of the major decisions you have made in your life and the research you conducted that supported your decision. For example, what computer brand do you own? Where is your money invested? What college do you attend? Do you use technology, appliances, and/or apps that help you to optimize your health?"
23,"Explain the role that genetics, environment, life cycle, and lifestyle play in health status. Describe economic, social, cultural, and emotional determinants that affect personal choices of foods."
24,"The sequences of DNA that code for all the proteins in your body. Entire genetic information contained in an individual which is inherited from their parents. In addition to nutrition, health is affected by genetics, the environment, life cycle, and lifestyle. These factors are referred to as “determinants” of health and they all interact with each other. For example, family income influences the food choices available and the quantity and quality of food that can be purchased, which of course affects nutrition. Except for nutrition and lifestyle, these factors can be difficult or impossible to change."
25,"Now that we understand the map of the human genome, let’s enter the fields of nutrigenomics and epigenetics. Recall that nutrigenomics17 is an emerging scientific discipline aimed at defining healthy genes and not-so- healthy genes and how nutrients affect them. Currently, scientists cannot change a person’s DNA sequence. But they have discovered that chemical reactions in the body can turn genes “on” and “off,” causing changes in the amounts and types of proteins expressed. Epigenetics18 is another rapidly advancing scientific field in which researchers study how chemical reactions turn genes “on” and “off” and the factors that influence the chemical reactions. Some of these factors are now known to be nutrients. Researchers at the Genetic Science Learning Center at the University of Utah"
26,"were fed a diet containing folate, choline, vitamin B12, and betaine, and other pregnant mice were fed a diet that did not contain these nutrients and chemicals. Both groups of pregnant mice were also fed bisphenol A, a chemical in plastic, which alters DNA by inhibiting a specific chemical reaction. The mice born from the mother fed the supplemented diet were brown, thin, and healthy. The mice born from the mother fed the unsupplemented diet were yellow, fat, and unhealthy. This is a dramatic example of how nutrients change not the sequence of DNA, but which genes are expressed. These two mice look different, but have identical DNA sequences. Thus, not only do the things you eat determine your health, but so do the things your mother ate during pregnancy. Moreover, other studies have demonstrated what your dad ate—and what your grandmother ate while she was pregnant with your mother!—also can affect your gene expression and, consequently, your health. Does this make it OK for you to blame your mother and father for all of your shortcomings? No. Genetics are important in determining your health, but they are certainly not the only determinant."
27,"An emerging scientific discipline that studies how nutrients affect gene expression. A rapidly advancing scientific field, in which researchers study how non-gene factors affect gene expression."
28,"A measurement dependent on three variables; income, occupation, and education. Multiple aspects of a person’s environment can affect nutrition, which in turn affects health. One of the best environmental predictors of a population’s health is socioeconomic status. Socioeconomic status20 is a measurement made up of three variables: income, occupation, and education. Socioeconomic status affects nutrition by influencing what foods you can afford and consequently, food choice and food quality. Nutrition and health are generally better in populations that have higher incomes, better jobs, and more education. On the other hand, the burden of disease is highest in the most disadvantaged populations. A commentary in the Journal of the American Medical Association reports that the lower life expectancy of populations of lower socioeconomic status is largely attributable to increased death from heart disease.Fiscella, K. and D. Tancredi. “Socioeconomic Status and Coronary Heart Disease Risk Prediction.” JAMA 300, no. 22 (2008): 2666–68. The American Heart Association states that having a healthy diet is one of the best weapons to fight heart disease and it is therefore essential that all socioeconomic status groups have access to high-quality, nutrient-dense foods. The disparities in nutrition and health in America are directly related to the disparity in socioeconomic status."
29,"Recreational drug use, which includes tobacco-smoking and alcohol consumption along with narcotic and other illegal drug use, has a large impact on health. Smoking cigarettes causes lung cancer, eleven other types of cancer, heart disease, and several other disorders or diseases that markedly decrease quality of life and increase mortality. In the United States, smoking causes more than four hundred thousand deaths every single year, which is far more than deaths associated with any other lifestyle component.Centers for Disease Control and Prevention. “Smoking and Tobacco Use.” Last updated March 21, 2011. http://www.cdc.gov/ tobacco/data_statistics/fact_sheets/health_effects/tobacco_related_mortality/ index.htm Also, according to the CDC, excessive alcohol intake causes an estimated seventy-five thousand deaths per year.Centers for Disease Control and Prevention. “Alcohol and Drug Use.” Last updated June 7, 2012. http://www.cdc.gov/ healthyyouth/alcoholdrug/ Staying away from excessive alcohol intake lowers blood pressure, the risk from injury, heart disease, stroke, liver problems, and some types of cancer. Abstaining from alcohol also aids in weight loss and increases the money in your wallet. While heavy drinking of alcoholic beverages is associated with several bad health effects, consuming alcohol in moderation has been found to promote health such as reducing the risk for heart disease and Type 2 diabetes in some people. The HHS defines drinking in moderation as no more than one drink a day for women and two drinks a day for men."
30,"From visiting websites about traditional foods of different cultures and ethnic groups, you may have noticed that a few more things besides environment and lifestyle that influence the foods you choose to eat. Different foods affect energy level, mood, how much is eaten, how long before you eat again, and if cravings are satisfied. We have talked about some of the physical effects of food on your body, but there are other effects too. Food regulates your appetite and how you feel. Multiple studies have demonstrated that some high- fiber foods and high-protein foods decrease appetite by slowing the digestive process and prolonging the feeling of being full. The effects of individual foods and"
31,"Taste, texture, and appearance. Individuals have a wide range of tastes which influence their food choices, leading some to dislike milk and others to hate raw vegetables. Some foods that are very healthy, such as tofu, may be unappealing at first to many people. However, creative cooks can adapt healthy foods to meet most peoples’ taste. Economics. Access to fresh fruits and vegetables may be scant, particularly for those who live in economically disadvantaged or remote areas, where cheaper food options are limited to convenience stores and fast food. Early food experiences. People who were not exposed to different foods as children, or who were forced to swallow every last bite of overcooked vegetables, may make limited food choices as adults. Habits. It’s common to establish eating routines, which can work both for and against optimal health. Habitually grabbing a fast food sandwich for breakfast can seem convenient, but might not offer"
32,"substantial nutrition. Yet getting in the habit of drinking an ample amount of water each day can yield multiple benefits. Culture. The culture in which one grows up affects how one sees food in daily life and on special occasions. Geography. Where a person lives influences food choices. For instance, people who live in Midwestern US states have less access to seafood than those living along the coasts. Advertising. The media greatly influences food choice by persuading consumers to eat certain foods. Social factors. Any school lunchroom observer can testify to the impact of peer pressure on eating habits, and this influence lasts through adulthood. People make food choices based on how they see others and want others to see them. For example, individuals can purchase cheap and fast pizzas or opt for high-end versions at fancy restaurants. Health concerns. Some people have significant food allergies, to lactose or peanuts for example, and need to avoid those foods. Others may have developed health issues, which require them to follow a low- salt diet. In addition, people who have never worried about their weight have a very different approach to eating than those who have long struggled with excess pounds. Emotions. There is a wide range in how emotional issues affect eating habits. When faced with a great deal of stress, some people tend to overeat, while others find it hard to eat at all. Green food/Sustainability choices. Based on a growing understanding of diet as a public and personal issue, more and more people are starting to make food choices based on their environmental impact. Realizing that their food choices help shape the world, many individuals are opting for a vegetarian diet, or, if they do eat animal products, striving to find the most “cruelty-free” options possible. Purchasing local and organic food products and items grown through sustainable products also helps shrink the size of one’s dietary footprint."
33,"The expression of genes determines all of your traits including your risk for certain diseases. Nutrients can change the way genes are turned “on” and “off,” consequently affecting health. Certain stages of life require changes in nutrition to maintain bodily functions, such as growing. The traits that a person has are largely a product of their genes and environment. One aspect of a person’s environment is socioeconomic status, which is dependent on income, occupation, and education. Socioeconomic status is one of the best environmental predictors of a population’s health. Besides dietary habits, other components of lifestyle which affect health are physical activity level, recreational drug use, and sleeping patterns."
34,What types of diseases and/or conditions are present in your family? Discuss the different cultures and religions that are represented by the people in your classroom and learn the different foods that they choose to eat.
35,"Discuss ways of assessing your personal health status and your diet. Set a goal to adopt, maintain, or improve a nutrition-related practice."
36,"One of the easiest places to begin a personal health assessment is by examining the results from your last physical. Often a person will leave the doctor’s office without these results. Remember that the results belong to you and having this information on hand provides you with much of what you need to keep track of your health. During a physical, after obtaining weight and height measurements, a nurse will typically examine blood pressure. Blood pressure is a measurement of the forces in the arteries that occur during each heart beat. It is a principle vital sign and an indicator of cardiovascular health. A desirable blood pressure is 120 over 80 mmHg."
37,"Other indicators of health that you can measure yourself are body mass index (BMI) and fitness. BMI refers to an individual’s body weight (in kilograms, or kg) divided by the square of their height (in meters) and the unit of measurement is kg/m2. You can calculate this yourself or use one of the many BMI calculators on the web (see Note 1.50 ""Interactive 1.8""). BMI is a standardized measurement that indicates if a person is underweight, of normal weight, overweight, or obese and is based on data from the average population. It has some limitations. One limitation is that it does not take into account how much of your weight is made up of muscle mass, which weighs more than fat tissue. BMI and other measurements of body composition and fitness are more fully discussed in Chapter 11 ""Energy Balance and Body Weight""."
38,"Step 2. Assess your diet and identify where it can be changed to promote health and prevent disease. Step 3. Start finding out the medical history of your family and identify the diseases you may be more susceptible to getting. Step 4. Assess your lifestyle by evaluating your personal habits, emotional health, sleep patterns, and work-life balance."
39,"What websites in Note 1.50 ""Interactive 1.8"" did you find to be the most helpful in the assessment of your health? Share your comments on these tools with your classmates and get their opinions, too."
40,"The biological and physical environments and their interactions with the community of organisms that inhabit it, and also the interactions among the organisms. Describes the variety of approaches aimed at improving our way of life. Sustainability promotes the development of conditions under which people and nature can interact harmoniously. It is based upon the principle that everything needed for human survival depends upon the natural environment. Source: Calculated by ERS using data from the December 2009 Current Population Survey Food Security Supplement."
41,"A system that can meet the needs of the current generation while providing food for generations to come without negatively impacting the environment. A state in which all persons in a community’s population obtain a nutritionally adequate diet that is culturally acceptable throughout the year that is not dependent on emergency aid sources, but more so from local production. The most prominent challenge to building a sustainable food system is to make food available and accessible to all. The Food and Agricultural Organization of the United Nations (FAO) states the right to food is a fundamental human right and its mission is to assist in building a food-secure world. Food security25 in America is defined as the “access by all people at all times to enough food for an active, healthy life.”US Department of Agriculture, Economic Research Service. “Food Security in the United States: Key Statistics and Graphics.” Last updated June 4, 2012. http://www.ers.usda.gov/Briefing/FoodSecurity/stats_graphs.htm#food_secure As of 2009, 14.9 percent of households, or 17.4 million people in the United States, had very low or low food security and these numbers have risen in recent years (Figure 1.9 ""Food Insecurity: A Global Perspective"").Food and Agricultural Organization of the United Nations. “Food Security: Concepts and Measurement.” In Corporate Document Repository, ID: 144369. 2003. http://www.fao.org/docrep/005/y4671e/ y4671e06.htm"
42,"Have a garden at home and join a network of home gardeners. Find out how by visiting the USDA website on gardening: http://www.usda.gov/wps/portal/usda/ usdahome?navid=GARDENING &parentnav=CONSUMER_CITIZEN&navtype=RT and the National Garden Association, http://www.garden.org/. Compost your food and garden waste. Learn some of the essentials of composting by visiting “Composting at home,” a fact sheet"
43,Buy local food—make at least 10 percent of your food purchases local and share what you know about local food with friends and family. Pool your resources with family and friends to purchase locally.
44,"Support state initiatives that support local farmers and build infrastructure to sell more healthy food. When dining out, ask what nutrients are in the food and where the food labels are on the menu (to encourage the restaurants to label). Also, visit the restaurant’s website as the information may be posted there with a space for comments."
45,"Sustainability promotes the development of conditions under which people and nature can interact harmoniously. It is based upon the principle that everything needed for human survival depends upon the natural environment. A sustainable food system includes not only the food and those who consume the food, but also those who produce food (such as farmers and fishermen), and process, package, distribute, and regulate food. The challenges to building a sustainable food system are many, from providing affordable and accessible food, to supplying nutritious, high- quality, low-cost food regardless of socioeconomic status, to changing the ways foods are produced, processed, and distributed. There are many solutions to the challenges of building a sustainable flood system. Some of the solutions are to: expand the infrastructure for locally grown food, improve access to healthy and local food for low- income Americans, provide education on food origin and production, build up the livelihoods of local farmers, and use sustainable farming methods. You can take action individually and locally to help build a sustainable food system."
46,Share with each other in the classroom some of the things you might have already done to help build a sustainable food system in your community. Form debate teams in the classroom and have a formal debate on the topic of the regulation of food. One side must present the reasons it is beneficial for the government to regulate food. The other side will argue the reasons it is better for people to grow their food locally.
47,"Explore the nutritional and health information provided by the USDA, the HSS, and the IOM. Make a pros and cons list on how helpful the information from each of these sources was to you. Revisit the photographs of the inner contents of refrigerators by Mark Menjivar. Describe how factors associated with a person’s environment, lifestyle, and culture may affect the personal food choices in at least six different refrigerators. Write a paragraph on your opinion of the role of the federal government in promoting health and preventing disease in Americans."
48,You are writing a short article for the Daily News. Explain how health means much more than a mere absence of disease. Create a table that summarizes the six classes of nutrients and their major functions. List five ideas on how to change the nutrition of Americans to protect their health and the health of the planet.
49,"Conduct an assessment of your diet. Begin by recording what you eat every day, including snacks and beverages, in a journal. Then visit the website, http://www.choosemyplate.gov/myplate/index.aspx, which has tools to help you assess your diet. Calculate your average daily calorie consumption. Conduct an informal survey of five of your friends and family members. Create a questionnaire with ten to fifteen questions pertaining to their perception of food, their favorite food shows, what restaurants they frequent, what they purchase from the grocery store each week, etc. Ask questions about their general eating habits and record the answers. Next, get a camera and take pictures of the insides of their refrigerators. What have you learned about their eating habits? What advice would you give them? Review all the material and put it together in a report. Be prepared to share your findings."
50,"were designed only to provide a typical individual with what they needed to survive each day, and no more. It wasn’t until World War I that the British Royal Society first made recommendations about the nutrients people needed to be healthy, as opposed to merely surviving. They included ideas we now take for granted, such as making fruit and vegetables part of the diet and giving milk to children. Since then, most governments have established their own dietary standards. Food is a precious commodity, like energy, and controlling the way it is distributed confers power. Sometimes this power is used to influence other countries, as when the United States withholds food aid from countries with regimes of which it disapproves. Governments can also use their power over food to support their most fragile citizens with food relief programs, such as the Supplemental Nutrition Assistance Program (SNAP) and the Women, Infants, and Children Supplemental Food Program (WIC)."
51,"The US government has also established dietary standards to help citizens follow a healthy diet. The first of these were the Recommended Daily Allowances (RDAs), published in 1943 because of the widespread food shortages caused by World War II. During the war, the government rationed sugar, butter, milk, cheese, eggs, coffee, and canned goods. Limited transportation made it hard to distribute fruits and vegetables. To solve this problem, the government encouraged citizens to plant “victory gardens” to produce their own fruits and vegetables. More than twenty million people began planting gardens in backyards, empty lots, and on rooftops. Neighbors pooled their resources and formed cooperatives, planting in the name of patriotism."
52,"A condition where one does not receive proper amounts of nutrients. This condition may have resulted from an inadequate or unbalanced diet, digestive and absorption problems, or other medical issues. A condition where a person is not consuming enough nutrients, which leads to malnutrition. A condition where a person is consuming too much food and too many nutrients, which may lead to malnutrition. A metabolic disorder that leads to the overaccumulation of fat tissue, compromising overall health."
53,"Vitamin A. Helps to enable the epithelial tissue (the thin outer layer of the body and the lining that protects your organs) and bone cells form. Vitamin C. Helps form collagen, an important protein in many body tissues."
54,"Fats. Play a key role in the formation and function of cell membranes. Carbohydrates. Fuel cellular activity, supplying needed energy to support the inflammatory response that promotes healing."
55,"Nutrition promotes vitality and an overall sense of health and well- being by providing the body with energy and nutrients that fuel growth, healing, and all body systems and functions. Good nutrition will also help to ward off the development of chronic disease. A person is malnourished by being either undernourished or overnourished. Malnutrition results when the body does not receive the required amounts of calories, fats, proteins, carbohydrates, vitamins, and minerals necessary to keep the body and its systems in good functioning order."
56,"A dietary term signifying a diet that provides all nutrients, fiber, and energy in amounts sufficient to maintaining good health and body weight. A balanced diet supplies various types of foods in proportion to one another. With balance, foods rich in one nutrient leave room for foods that are rich in other nutrients. Controlling energy intake so that energy requirements are being met but not exceeded. Not eating to the extremes, neither too much nor too little. Consuming an abundance of foods from different food groups on a regular basis."
57,"A diet must be adequate5, by providing sufficient amounts of each essential nutrient, as well as fiber and calories. A balanced diet6 results when you do not consume one nutrient at the expense of another, but rather get appropriate amounts of all nutrients. Calorie control7 is necessary so that the amount of energy you get from the nutrients you consume equals the amount of energy you expend during your day’s activities. Moderation8 means not eating to the extremes, neither too much nor too little. Variety9 refers to consuming different foods from within each of the food groups on a regular basis."
58,"A healthy diet is one that favors whole foods. As an alternative to modern processed foods, a healthy diet focuses on “real” fresh whole foods that have been sustaining people throughout the millenniums. Whole foods supply the needed vitamins, minerals, protein, carbohydrates, fats, and fiber that are essential to good health. Commercially prepared and fast foods are often lacking nutrients and often contain inordinate amounts of sugar, salt, saturated and trans fats, all of which are associated with the development of diseases such as atherosclerosis, heart disease, stroke, cancer, obesity, high cholesterol, diabetes, and other illnesses. A balanced diet is a mix of food from the different food groups (vegetables, legumes, fruits, grains, protein foods, and dairy)."
59,An adequate diet is one that favors nutrient-dense foods. Nutrient-dense foods10 are defined as foods that contain many essential nutrients per calorie. Nutrient-
60,Variety involves eating different foods from all the food groups. Eating a varied diet helps to ensure that you receive all the nutrients necessary for a healthy diet. One of the major drawbacks of a monotonous diet is the risk of consuming too much of some nutrients and not enough of others. Trying new foods can also be a source of pleasure—you never know what foods you might like until you try them.
61,"Red and orange: Acorn squash, butternut squash, carrots, pumpkin, red peppers, sweet potatoes Berries: strawberries, blueberries, raspberries, cherries, grapefruit, kiwi fruit, lemons, limes, mangoes"
62,"Starchy: Cassava, green bananas, green peas, green lima beans, plantains, potatoes, taro, water chestnuts Other fruits: nectarines, oranges, peaches, pears, papaya, pineapple, plums, prunes"
63,"A healthful diet is adequate in providing proper amounts of nutrient- dense foods, is balanced in relation to food types so that one nutrient is not consumed at the expense of another, practices calorie control by supplying food energy to match energy output, is moderate in unwanted constituents, and draws from a variety of nutritious foods. Nutrient-dense foods contribute to daily nutritional requirements while limiting caloric intake, thus allowing people to either lose weight safely or to maintain a healthy weight."
64,"Discuss the principles of a healthy diet. How can you employ these principles in your diet, if you are not already? Review the list of grains in Table 2.3 ""Food Choices for a Healthful Diet"". Pick one that you have not tried before. Make a dish using this grain. Discuss with your classmates your experience eating this new food."
65,"officials responsible for food relief for armed forces and civilians supporting the war effort. Since 1980, the dietary guidelines have been reevaluated and updated every five years by the advisory committees of the US Department of Agriculture (USDA) and the US Department of Health and Human Services (HHS). The guidelines are continually revised to keep up with new scientific evidence-based conclusions on the importance of nutritional adequacy and physical activity to overall health. While dietary recommendations set prior to 1980 focused only on preventing nutrient inadequacy, the current dietary guidelines have the additional goals of promoting health, reducing chronic disease, and decreasing the prevalence of overweight and obesity."
66,"Reduce the incidence and prevalence of overweight and obesity of the US population by reducing overall calorie intake and increasing physical activity. Shift food intake patterns to a diet that emphasizes vegetables, cooked dry beans, and peas, fruits, whole grains, nuts, and seeds. In addition, increase the intake of seafood and fat-free and low-fat milk and milk products and consume only moderate amounts of lean meats, poultry, and eggs. Significantly reduce intake of foods containing solid fats and added sugars (SoFAS) because these dietary components contribute excess calories and few, if any, nutrients. In addition, reduce sodium intake and lower intake of refined grains that are coupled with added sugar, solid fat, and sodium. Meet the 2008 Physical Activity Guidelines for Americans. (http://www.cnpp.usda.gov/Publications/DietaryGuidelines/2010/ PolicyDoc/Chapter1.pdf)"
67,"Eat a variety of vegetables, especially dark green, red, and orange vegetables. Choose at least half of your grains consumed from whole-grain foods."
68,"US dietary guidelines are based on evolving scientific evidence and are updated every five years. The goals of the 2010 Dietary Guidelines are to prevent nutrient inadequacy, promote health, reduce chronic disease, and decrease the prevalence of overweight and obesity. To have a healthy eating pattern, reduce the intake of sodium, saturated and trans fats, cholesterol, added sugars, and refined grains. Increase the consumption of fruits, vegetables, low-fat dairy products, dietary fiber, and oils. Healthy eating patterns prevent chronic disease and provide nutrient adequacy."
69,"These are the conditions reflective of the circumstances in which people are born, live, work, and age. It assesses the conditions that shape circumstances such as money, power, and resources at the local, national and global levels. The Healthy People 2020 program, launched in 2010, is a ten-year national program instituted by the US government with objectives aimed toward improving the health of all Americans. Similar to the 2010 Dietary Guidelines, it has been established to promote longer lives free of preventable disease, disability, injury, and premature death. With a revived intent on identifying, measuring, tracking, and reducing health disparities through a “determinants of health approach,” Healthy People 2020 will strive to create the social and physical environments that promote good health for all and to promote quality of life, healthy development, and healthy behaviors across all life stages. This means that the understanding of what makes and keeps people healthy is consistently refined. The determinants of health approach12 reflects the evidence from outside factors that greatly affect the health of individuals.US Department of Health and Human Services. “About Healthy People.” Last updated March 29, 2012. http://www.healthypeople.gov/2020/about/ default.aspx It takes into consideration the circumstances in which people are born, live, work, and age. It also reflects the conditions that shape their circumstances such as money, power, and resources at the local, national, and global levels. Social determinants of health are primarily accountable for the lack of fair health opportunities and the unjust differences in health status that exist within and between countries.World Health Organization. “Social Determinants of Health.” © 2012. http://www.who.int/social_determinants/en/."
